Year,Month,Day,Temp_Max[?øC],Temp_Mean[?øC],Temp_Min[?øC],Weather Category,,Emirate
2018,6,29,47.4,37.3,31.7,Sunny and Hot,,Abu Dhabi
2022,4,18,33,28.5,24.6,Sunny and Warm,,Abu Dhabi
2018,8,18,44.5,35.3,28.8,Sunny and Hot,,Abu Dhabi
2021,5,19,45.7,35.8,26.2,Sunny and Hot,,Abu Dhabi
2019,11,9,35.2,27.7,21.8,Sunny and Warm,,Abu Dhabi
2022,1,3,27.8,24.1,21.1,Sunny and Warm,,Abu Dhabi
2019,8,8,42.9,36.3,31.1,Sunny and Hot,,Abu Dhabi
2018,10,3,41.8,32.3,25.2,Sunny and Hot,,Abu Dhabi
2021,11,27,33,25.3,18.5,Sunny and Warm,,Abu Dhabi
2019,8,4,44.9,36.4,31.2,Sunny and Hot,,Abu Dhabi
2022,11,4,35.9,29.1,21.8,Sunny and Warm,,Abu Dhabi
2019,10,19,38.3,30.4,24.6,Sunny and Hot,,Abu Dhabi
2018,8,27,47.2,37.4,31.5,Sunny and Hot,,Abu Dhabi
2018,2,19,31.2,23.5,18.4,Sunny and Warm,,Abu Dhabi
2023,1,20,25.5,19.7,14.9,Cold and Cloudy,,Abu Dhabi
2019,10,4,41.9,33.7,29,Sunny and Hot,,Abu Dhabi
2020,3,23,25.6,22.1,19.7,Sunny and Warm,,Abu Dhabi
2022,10,23,38.5,29.9,24,Sunny and Warm,,Abu Dhabi
2019,9,23,44.5,34.1,26.5,Sunny and Hot,,Abu Dhabi
2018,4,6,41.2,29.4,21.9,Sunny and Warm,,Abu Dhabi
2022,9,5,44.6,35.6,28.8,Sunny and Hot,,Abu Dhabi
2019,1,26,30.9,21.8,13.6,Sunny and Warm,,Abu Dhabi
2018,6,7,46.9,39,32.4,Sunny and Hot,,Abu Dhabi
2021,7,3,46.7,36.8,29.7,Sunny and Hot,,Abu Dhabi
2021,9,28,40.9,33.5,28.8,Sunny and Hot,,Abu Dhabi
2018,12,31,29.1,20.9,14.3,Sunny and Warm,,Abu Dhabi
2021,4,13,41.5,32.4,24.7,Sunny and Hot,,Abu Dhabi
2019,2,25,26.8,22,17.9,Sunny and Warm,,Abu Dhabi
2020,8,21,44.9,37.2,33.5,Sunny and Hot,,Abu Dhabi
2020,11,23,30.3,24.6,18.6,Sunny and Warm,,Abu Dhabi
2020,2,28,24.7,21,18.5,Sunny and Warm,,Abu Dhabi
2020,10,7,43.1,32.9,24.9,Sunny and Hot,,Abu Dhabi
2022,7,11,41,34.2,30.2,Sunny and Hot,,Abu Dhabi
2021,2,26,25.4,21.9,18.7,Sunny and Warm,,Abu Dhabi
2019,8,5,44,36.7,30.7,Sunny and Hot,,Abu Dhabi
2018,6,15,42.2,34.9,27.5,Sunny and Hot,,Abu Dhabi
2018,4,26,36.9,30.3,25.2,Sunny and Hot,,Abu Dhabi
2018,8,15,42,36.1,32.2,Sunny and Hot,,Abu Dhabi
2019,3,8,25.1,19.7,14.3,Cold and Cloudy,,Abu Dhabi
2022,12,21,29.5,22.7,15.6,Sunny and Warm,,Abu Dhabi
2020,7,10,48.3,39.1,32.3,Sunny and Hot,,Abu Dhabi
2022,1,16,25.4,21.4,18.9,Sunny and Warm,,Abu Dhabi
2022,8,17,46.1,36.8,32.1,Sunny and Hot,,Abu Dhabi
2019,9,21,43.6,34,27.2,Sunny and Hot,,Abu Dhabi
2018,3,27,35.8,25.9,15.9,Sunny and Warm,,Abu Dhabi
2018,1,14,25.6,18.8,13.4,Cold and Cloudy,,Abu Dhabi
2020,10,27,35.4,27.1,19.2,Sunny and Warm,,Abu Dhabi
2019,12,8,29.2,24,20.2,Sunny and Warm,,Abu Dhabi
2019,12,10,29.8,24.6,21,Sunny and Warm,,Abu Dhabi
2019,7,11,43.3,35.4,26.4,Sunny and Hot,,Abu Dhabi
2019,1,24,27.9,19,11.8,Cold and Cloudy,,Abu Dhabi
2018,3,17,35.1,24.4,14.6,Sunny and Warm,,Abu Dhabi
2020,4,13,35.5,30.5,26.7,Sunny and Hot,,Abu Dhabi
2018,7,14,48.3,36.9,28.9,Sunny and Hot,,Abu Dhabi
2019,5,11,41.2,33.4,25.8,Sunny and Hot,,Abu Dhabi
2023,1,22,27,19.9,13.4,Cold and Cloudy,,Abu Dhabi
2021,7,27,47.4,38.9,33.1,Sunny and Hot,,Abu Dhabi
2022,1,8,24.2,18.8,13.2,Cold and Cloudy,,Abu Dhabi
2019,3,13,27.7,19.6,11.5,Cold and Cloudy,,Abu Dhabi
2021,11,2,36.1,29.3,24.3,Sunny and Warm,,Abu Dhabi
2019,5,2,38,29,21.4,Sunny and Warm,,Abu Dhabi
2018,11,15,36.7,28.3,20.3,Sunny and Warm,,Abu Dhabi
2020,8,24,45.1,37.5,33.2,Sunny and Hot,,Abu Dhabi
2022,4,14,44.7,33.4,25.3,Sunny and Hot,,Abu Dhabi
2021,7,23,47.1,40.4,34.2,Sunny and Hot,,Abu Dhabi
2018,10,28,34.8,30.4,28.5,Sunny and Hot,,Abu Dhabi
2018,2,13,34.9,24.3,13.7,Sunny and Warm,,Abu Dhabi
2019,1,10,26.9,20.7,15.3,Sunny and Warm,,Abu Dhabi
2020,1,18,26.8,19,11.9,Cold and Cloudy,,Abu Dhabi
2022,4,15,40.3,32.9,26.2,Sunny and Hot,,Abu Dhabi
2018,7,29,48,40,35.3,Sunny and Hot,,Abu Dhabi
2020,6,22,39.7,34.4,29.5,Sunny and Hot,,Abu Dhabi
2018,6,23,42,34.1,27.7,Sunny and Hot,,Abu Dhabi
2019,7,28,45.8,39.7,34.4,Sunny and Hot,,Abu Dhabi
2022,7,9,41.5,35.5,31.6,Sunny and Hot,,Abu Dhabi
2018,9,16,45.7,36.6,28.2,Sunny and Hot,,Abu Dhabi
2020,3,5,26.6,21.3,17.7,Sunny and Warm,,Abu Dhabi
2021,7,9,46.8,38.6,32.9,Sunny and Hot,,Abu Dhabi
2020,8,31,46.4,38.9,33.5,Sunny and Hot,,Abu Dhabi
2018,11,13,32,27.2,22.5,Sunny and Warm,,Abu Dhabi
2020,4,2,35.3,25.4,17,Sunny and Warm,,Abu Dhabi
2020,8,27,44.8,37.6,33.7,Sunny and Hot,,Abu Dhabi
2021,3,20,34.6,26.6,21.4,Sunny and Warm,,Abu Dhabi
2023,2,13,34.8,25.2,16.9,Sunny and Warm,,Abu Dhabi
2019,9,1,43.6,35.7,30.4,Sunny and Hot,,Abu Dhabi
2018,9,30,41,33.2,27.2,Sunny and Hot,,Abu Dhabi
2022,7,15,46.1,39,33.2,Sunny and Hot,,Abu Dhabi
2020,12,31,28,19.8,12.7,Cold and Cloudy,,Abu Dhabi
2018,7,30,46.3,38.4,35,Sunny and Hot,,Abu Dhabi
2018,8,6,43.6,36.4,27.2,Sunny and Hot,,Abu Dhabi
2020,12,24,26.7,19.9,13.4,Cold and Cloudy,,Abu Dhabi
2021,2,5,30.7,21.7,12.7,Sunny and Warm,,Abu Dhabi
2021,12,27,26.5,22.8,20.6,Sunny and Warm,,Abu Dhabi
2018,9,23,44.4,34.9,28.7,Sunny and Hot,,Abu Dhabi
2018,9,13,41.9,33.8,26.4,Sunny and Hot,,Abu Dhabi
2018,6,18,43,34.6,25.1,Sunny and Hot,,Abu Dhabi
2019,12,17,29.4,25.2,21.6,Sunny and Warm,,Abu Dhabi
2022,3,26,32.8,26.5,22.8,Sunny and Warm,,Abu Dhabi
2022,9,11,42.8,34.4,28.5,Sunny and Hot,,Abu Dhabi
2021,7,3,46.7,36.8,29.7,Sunny and Hot,,Abu Dhabi
2019,7,14,44.7,36.1,31.2,Sunny and Hot,,Abu Dhabi
2019,10,21,37.2,30.2,24.5,Sunny and Hot,,Abu Dhabi
2022,2,8,23.2,19.9,17.5,Cold and Cloudy,,Abu Dhabi
2021,4,27,43.1,34.4,26.3,Sunny and Hot,,Abu Dhabi
2018,11,5,34.5,26.1,19.5,Sunny and Warm,,Abu Dhabi
2023,2,1,27.7,21.2,15.5,Sunny and Warm,,Abu Dhabi
2021,12,17,29.5,21.6,14.9,Sunny and Warm,,Abu Dhabi
2021,12,4,27.8,23.6,19.8,Sunny and Warm,,Abu Dhabi
2022,11,27,32.4,26.1,19.2,Sunny and Warm,,Abu Dhabi
2020,1,28,22.7,18.2,13.9,Cold and Cloudy,,Abu Dhabi
2022,1,29,24.8,20.2,16.2,Sunny and Warm,,Abu Dhabi
2022,1,12,25.5,19.6,13.3,Cold and Cloudy,,Abu Dhabi
2018,8,25,47.8,37,31.1,Sunny and Hot,,Abu Dhabi
2020,8,9,45.1,38.2,32.9,Sunny and Hot,,Abu Dhabi
2022,1,29,24.8,20.2,16.2,Sunny and Warm,,Abu Dhabi
2022,6,23,48.7,38.6,29.5,Sunny and Hot,,Abu Dhabi
2022,5,1,36.7,29.8,24.8,Sunny and Warm,,Abu Dhabi
2020,10,22,34.9,27.8,19.5,Sunny and Warm,,Abu Dhabi
2021,8,3,48.6,37.6,28.8,Sunny and Hot,,Abu Dhabi
2018,9,25,41,34.1,28.9,Sunny and Hot,,Abu Dhabi
2019,6,4,46.2,36,27.1,Sunny and Hot,,Abu Dhabi
2020,12,28,26.3,19.7,13.1,Cold and Cloudy,,Abu Dhabi
2018,4,23,42.3,33.6,27.9,Sunny and Hot,,Abu Dhabi
2022,2,24,29.7,21.6,16.9,Sunny and Warm,,Abu Dhabi
2019,10,31,39.4,30,22.7,Sunny and Hot,,Abu Dhabi
2020,3,13,33.5,23.7,14.8,Sunny and Warm,,Abu Dhabi
2020,10,2,41.5,32.9,25,Sunny and Hot,,Abu Dhabi
2018,11,5,34.5,26.1,19.5,Sunny and Warm,,Abu Dhabi
2018,8,5,44.8,35.9,27.2,Sunny and Hot,,Abu Dhabi
2019,7,15,41.1,35.7,31,Sunny and Hot,,Abu Dhabi
2018,9,3,47.4,37.3,28.9,Sunny and Hot,,Abu Dhabi
2019,5,10,41.2,32.7,24.5,Sunny and Hot,,Abu Dhabi
2021,5,12,41.7,31.8,23.3,Sunny and Hot,,Abu Dhabi
2023,1,18,24.4,21.8,19.8,Sunny and Warm,,Abu Dhabi
2022,7,3,43.3,35.6,31,Sunny and Hot,,Abu Dhabi
2022,6,8,48.6,36.9,28.9,Sunny and Hot,,Abu Dhabi
2020,2,6,27.1,19.2,12.9,Cold and Cloudy,,Abu Dhabi
2022,7,19,42.9,38.2,33.9,Sunny and Hot,,Abu Dhabi
2022,2,9,26,19.7,13.6,Cold and Cloudy,,Abu Dhabi
2020,4,20,38.9,31.3,27.3,Sunny and Hot,,Abu Dhabi
2019,9,6,45.8,36.3,30.1,Sunny and Hot,,Abu Dhabi
2021,3,5,40.9,28.5,19.5,Sunny and Warm,,Abu Dhabi
2018,4,23,42.3,33.6,27.9,Sunny and Hot,,Abu Dhabi
2021,2,20,28.2,22.9,18.9,Sunny and Warm,,Abu Dhabi
2019,7,11,43.3,35.4,26.4,Sunny and Hot,,Abu Dhabi
2021,8,1,47.4,37.6,29.6,Sunny and Hot,,Abu Dhabi
2021,9,27,39.2,33.6,28.7,Sunny and Hot,,Abu Dhabi
2018,5,9,45.9,35.4,26.1,Sunny and Hot,,Abu Dhabi
2020,8,11,45.5,37.7,34.3,Sunny and Hot,,Abu Dhabi
2022,8,16,46.9,37.1,30.5,Sunny and Hot,,Abu Dhabi
2020,4,7,35.3,25.7,16.5,Sunny and Warm,,Abu Dhabi
2018,11,13,32,27.2,22.5,Sunny and Warm,,Abu Dhabi
2022,8,31,44.6,35,28.1,Sunny and Hot,,Abu Dhabi
2021,10,9,41.8,33.4,28.1,Sunny and Hot,,Abu Dhabi
2022,4,6,42.1,29.8,19.8,Sunny and Warm,,Abu Dhabi
2019,6,11,42.6,36,29.4,Sunny and Hot,,Abu Dhabi
2022,8,21,44.6,36.9,30.1,Sunny and Hot,,Abu Dhabi
2022,11,11,38,29.6,22.3,Sunny and Warm,,Abu Dhabi
2019,4,8,36,29.9,25.9,Sunny and Warm,,Abu Dhabi
2023,1,16,29,21.8,15.9,Sunny and Warm,,Abu Dhabi
2021,6,8,44.9,36,31,Sunny and Hot,,Abu Dhabi
2022,9,14,45.3,36.5,29.9,Sunny and Hot,,Abu Dhabi
2020,2,29,28.4,22.2,19.2,Sunny and Warm,,Abu Dhabi
2021,4,15,37.8,30.6,24.3,Sunny and Hot,,Abu Dhabi
2022,8,13,45.9,39.1,34.3,Sunny and Hot,,Abu Dhabi
2018,3,21,32.6,22.9,12.5,Sunny and Warm,,Abu Dhabi
2020,1,6,23.6,21.3,17.7,Sunny and Warm,,Abu Dhabi
2022,1,21,20.5,18.8,16.5,Cold and Cloudy,,Abu Dhabi
2021,4,16,34.4,28.3,22.9,Sunny and Warm,,Abu Dhabi
2021,7,29,45.9,38.1,32.5,Sunny and Hot,,Abu Dhabi
2018,3,27,35.8,25.9,15.9,Sunny and Warm,,Abu Dhabi
2021,3,4,36.6,26.7,18.6,Sunny and Warm,,Abu Dhabi
2019,2,20,22.7,19.7,17.4,Cold and Cloudy,,Abu Dhabi
2022,3,24,40.8,29.1,18.9,Sunny and Warm,,Abu Dhabi
2022,1,2,27.4,23.3,19.3,Sunny and Warm,,Abu Dhabi
2019,2,13,23.5,19.3,16.4,Cold and Cloudy,,Abu Dhabi
2019,3,16,32.8,25.3,18.3,Sunny and Warm,,Abu Dhabi
2019,4,5,38.7,31.9,26.1,Sunny and Hot,,Abu Dhabi
2022,7,17,44.2,37.6,33.3,Sunny and Hot,,Abu Dhabi
2022,8,7,45.8,39.2,33.2,Sunny and Hot,,Abu Dhabi
2022,4,20,36.2,26.2,17.9,Sunny and Warm,,Abu Dhabi
2020,7,23,41.6,34.9,30,Sunny and Hot,,Abu Dhabi
2019,3,7,26.5,20.3,13.9,Sunny and Warm,,Abu Dhabi
2018,11,8,35,27.7,21.9,Sunny and Warm,,Abu Dhabi
2021,12,31,28.9,22.8,18.6,Sunny and Warm,,Abu Dhabi
2021,8,9,50.2,40.4,33.3,Sunny and Hot,,Abu Dhabi
2022,8,12,45.4,38.2,33.4,Sunny and Hot,,Abu Dhabi
2022,8,21,44.6,36.9,30.1,Sunny and Hot,,Abu Dhabi
2022,5,9,37.1,31.7,28.2,Sunny and Hot,,Abu Dhabi
2021,12,17,29.5,21.6,14.9,Sunny and Warm,,Abu Dhabi
2018,2,28,30.2,24.9,21.3,Sunny and Warm,,Abu Dhabi
2023,1,15,27.7,21.2,16.3,Sunny and Warm,,Abu Dhabi
2020,10,24,38.7,27.8,19,Sunny and Warm,,Abu Dhabi
2022,8,17,46.1,36.8,32.1,Sunny and Hot,,Abu Dhabi
2018,1,30,21.8,17.4,11.6,Cold and Cloudy,,Abu Dhabi
2022,5,26,38.7,33.1,28.5,Sunny and Hot,,Abu Dhabi
2019,11,8,35.5,28,21.7,Sunny and Warm,,Abu Dhabi
2018,11,16,36,28.8,24.4,Sunny and Warm,,Abu Dhabi
2021,5,1,37.1,29.8,24.2,Sunny and Warm,,Abu Dhabi
2021,4,27,43.1,34.4,26.3,Sunny and Hot,,Abu Dhabi
2019,4,25,28.3,24,20,Sunny and Warm,,Abu Dhabi
2021,2,4,28.9,20.6,15.3,Sunny and Warm,,Abu Dhabi
2020,6,12,44.1,35.6,26.9,Sunny and Hot,,Abu Dhabi
2022,3,2,29.5,21.1,15.4,Sunny and Warm,,Abu Dhabi
2019,3,13,27.7,19.6,11.5,Cold and Cloudy,,Abu Dhabi
2023,2,15,34.3,25.6,17.6,Sunny and Warm,,Abu Dhabi
2021,12,27,26.5,22.8,20.6,Sunny and Warm,,Abu Dhabi
2021,8,7,43.8,37.1,30.7,Sunny and Hot,,Abu Dhabi
2019,8,15,48,38.5,32.3,Sunny and Hot,,Abu Dhabi
2019,11,6,34,28.1,22.6,Sunny and Warm,,Abu Dhabi
2020,9,10,43.7,34,27.9,Sunny and Hot,,Abu Dhabi
2022,11,16,34.2,28.2,23.8,Sunny and Warm,,Abu Dhabi
2020,1,27,21.5,18.6,16.4,Cold and Cloudy,,Abu Dhabi
2019,9,16,42.2,34.9,29.2,Sunny and Hot,,Abu Dhabi
2022,9,4,43.3,35,28.9,Sunny and Hot,,Abu Dhabi
2018,3,12,33.3,26.9,21.5,Sunny and Warm,,Abu Dhabi
2022,2,2,24.5,20.4,16.4,Sunny and Warm,,Abu Dhabi
2022,5,24,42.9,34,27,Sunny and Hot,,Abu Dhabi
2021,8,7,43.8,37.1,30.7,Sunny and Hot,,Abu Dhabi
2023,2,9,23.9,21,18.2,Sunny and Warm,,Abu Dhabi
2018,3,26,37.6,27.7,17.6,Sunny and Warm,,Abu Dhabi
2019,3,22,32.4,25.5,19.3,Sunny and Warm,,Abu Dhabi
2022,6,10,44,36.9,30.8,Sunny and Hot,,Abu Dhabi
2022,5,6,45.2,33.5,24.2,Sunny and Hot,,Abu Dhabi
2020,9,14,45.6,36.1,28.9,Sunny and Hot,,Abu Dhabi
2022,4,12,40.2,30.5,21.9,Sunny and Hot,,Abu Dhabi
2019,11,11,29.9,23.6,17,Sunny and Warm,,Abu Dhabi
2021,5,6,36.5,30,24.2,Sunny and Hot,,Abu Dhabi
2022,9,29,38.9,32.5,27.5,Sunny and Hot,,Abu Dhabi
2021,12,4,27.8,23.6,19.8,Sunny and Warm,,Abu Dhabi
2019,1,4,28.8,21.7,15.5,Sunny and Warm,,Abu Dhabi
2018,7,1,46.5,38.5,33.1,Sunny and Hot,,Abu Dhabi
2019,5,5,42.3,32.7,24.5,Sunny and Hot,,Abu Dhabi
2022,4,24,43,31.2,22.3,Sunny and Hot,,Abu Dhabi
2021,10,20,38.1,30.9,24.5,Sunny and Hot,,Abu Dhabi
2022,2,16,27.9,20.9,15.8,Sunny and Warm,,Abu Dhabi
2019,7,5,45.6,36.9,31.1,Sunny and Hot,,Abu Dhabi
2020,4,23,38.7,29.8,21.8,Sunny and Warm,,Abu Dhabi
2020,7,29,45.6,38.9,33.9,Sunny and Hot,,Abu Dhabi
2022,1,31,26.9,20.6,15.6,Sunny and Warm,,Abu Dhabi
2018,5,10,42.7,34.5,29.2,Sunny and Hot,,Abu Dhabi
2018,7,31,44.3,37.2,32.7,Sunny and Hot,,Abu Dhabi
2018,10,12,39.7,31.3,24.5,Sunny and Hot,,Abu Dhabi
2018,3,3,27.4,21.7,16.6,Sunny and Warm,,Abu Dhabi
2019,7,31,45.6,38.6,35.5,Sunny and Hot,,Abu Dhabi
2019,9,13,43.2,34.9,29.9,Sunny and Hot,,Abu Dhabi
2020,3,26,30.1,22.1,15.5,Sunny and Warm,,Abu Dhabi
2022,6,28,43,35.5,30.9,Sunny and Hot,,Abu Dhabi
2021,6,16,44.4,35.2,26.7,Sunny and Hot,,Abu Dhabi
2020,11,13,35.4,28.5,22.5,Sunny and Warm,,Abu Dhabi
2022,7,20,44.1,38.1,33.8,Sunny and Hot,,Abu Dhabi
2019,3,22,32.4,25.5,19.3,Sunny and Warm,,Abu Dhabi
2022,4,4,38.1,26.4,19.6,Sunny and Warm,,Abu Dhabi
2022,10,31,36.9,29,23,Sunny and Warm,,Abu Dhabi
2021,10,26,35.4,29,22.9,Sunny and Warm,,Abu Dhabi
2020,10,23,34.2,27.7,20.5,Sunny and Warm,,Abu Dhabi
2021,6,28,45.8,38.2,32.4,Sunny and Hot,,Abu Dhabi
2021,8,13,48.1,37.3,30,Sunny and Hot,,Abu Dhabi
2020,7,29,45.6,38.9,33.9,Sunny and Hot,,Abu Dhabi
2022,8,29,43.2,34.8,28.6,Sunny and Hot,,Abu Dhabi
